"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005503","Breckland 001",0.61,0.58,0.64,0.25,0.2,0.29,0.79,0.76,0.81,"E07000143","Breckland"
"E02005504","Breckland 002",0.6,0.56,0.64,0.25,0.2,0.29,0.78,0.75,0.8,"E07000143","Breckland"
"E02005505","Breckland 003",0.56,0.53,0.59,0.27,0.23,0.31,0.77,0.75,0.79,"E07000143","Breckland"
"E02005506","Breckland 004",0.56,0.53,0.59,0.26,0.21,0.3,0.77,0.75,0.79,"E07000143","Breckland"
"E02005507","Breckland 005",0.54,0.51,0.57,0.29,0.25,0.33,0.74,0.72,0.76,"E07000143","Breckland"
"E02005508","Breckland 006",0.61,0.57,0.64,0.23,0.18,0.27,0.8,0.77,0.82,"E07000143","Breckland"
"E02005509","Breckland 007",0.5,0.47,0.53,0.33,0.29,0.36,0.73,0.71,0.75,"E07000143","Breckland"
"E02005510","Breckland 008",0.55,0.51,0.58,0.28,0.23,0.32,0.75,0.73,0.78,"E07000143","Breckland"
"E02005511","Breckland 009",0.49,0.46,0.51,0.32,0.28,0.35,0.73,0.71,0.75,"E07000143","Breckland"
"E02005512","Breckland 010",0.6,0.56,0.63,0.24,0.19,0.28,0.77,0.75,0.8,"E07000143","Breckland"
"E02005513","Breckland 011",0.56,0.54,0.59,0.27,0.23,0.31,0.77,0.75,0.78,"E07000143","Breckland"
"E02005514","Breckland 012",0.58,0.54,0.62,0.26,0.21,0.3,0.76,0.73,0.79,"E07000143","Breckland"
"E02005515","Breckland 013",0.62,0.59,0.65,0.21,0.16,0.26,0.81,0.78,0.83,"E07000143","Breckland"
"E02005516","Breckland 014",0.61,0.56,0.65,0.25,0.2,0.3,0.78,0.75,0.81,"E07000143","Breckland"
"E02005517","Breckland 015",0.51,0.48,0.55,0.33,0.29,0.37,0.67,0.64,0.7,"E07000143","Breckland"
"E02005518","Breckland 016",0.58,0.54,0.61,0.26,0.21,0.3,0.76,0.73,0.79,"E07000143","Breckland"
"E02005519","Breckland 017",0.55,0.51,0.58,0.29,0.24,0.33,0.72,0.68,0.74,"E07000143","Breckland"
