"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004118","South Derbyshire 001",0.68,0.63,0.72,0.19,0.13,0.24,0.84,0.8,0.87,"E07000039","South Derbyshire"
"E02004119","South Derbyshire 002",0.69,0.65,0.73,0.18,0.13,0.23,0.85,0.82,0.87,"E07000039","South Derbyshire"
"E02004120","South Derbyshire 003",0.63,0.59,0.68,0.22,0.16,0.27,0.81,0.78,0.84,"E07000039","South Derbyshire"
"E02004121","South Derbyshire 004",0.67,0.61,0.72,0.19,0.13,0.25,0.84,0.79,0.87,"E07000039","South Derbyshire"
"E02004122","South Derbyshire 005",0.68,0.64,0.73,0.18,0.12,0.23,0.86,0.83,0.89,"E07000039","South Derbyshire"
"E02004123","South Derbyshire 006",0.67,0.62,0.71,0.2,0.14,0.25,0.83,0.8,0.86,"E07000039","South Derbyshire"
"E02004124","South Derbyshire 007",0.58,0.53,0.62,0.28,0.23,0.33,0.75,0.72,0.79,"E07000039","South Derbyshire"
"E02004125","South Derbyshire 008",0.56,0.51,0.6,0.29,0.24,0.34,0.74,0.7,0.77,"E07000039","South Derbyshire"
"E02004126","South Derbyshire 009",0.58,0.54,0.61,0.28,0.24,0.32,0.74,0.71,0.76,"E07000039","South Derbyshire"
"E02004128","South Derbyshire 011",0.59,0.54,0.64,0.27,0.21,0.32,0.77,0.73,0.8,"E07000039","South Derbyshire"
"E02006919","South Derbyshire 012",0.61,0.56,0.65,0.24,0.19,0.29,0.77,0.73,0.8,"E07000039","South Derbyshire"
"E02006920","South Derbyshire 013",0.6,0.56,0.64,0.25,0.19,0.29,0.76,0.72,0.79,"E07000039","South Derbyshire"
